COUNTER,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, FUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL
126,3862.05,4091.28,4201.03,4412.31,4613.85,4673.85,4465.64,4420,4139.49,4496.92,4864.1,4491.28,4374.36,4618.46,1701,1690,6.469,0,0,0,0
127,3860,4088.21,4202.56,4411.79,4603.59,4684.1,4469.23,4430.26,4154.87,4508.72,4875.9,4488.21,4381.03,4612.82,1701,1690,6.477,0,0,0,0
128,3869.23,4094.87,4208.21,4412.31,4582.56,4688.21,4475.9,4445.13,4160.51,4527.69,4893.85,4502.56,4396.92,4622.56,1701,1690,6.485,0,0,0,0
0,3873.85,4102.56,4210.77,4414.87,4577.95,4676.41,4481.54,4446.67,4156.92,4526.15,4891.79,4508.72,4394.36,4628.72,1701,1693,6.493,0,0,0,0
1,3870.77,4106.15,4212.82,4416.92,4589.74,4670.26,4485.13,4449.23,4164.62,4523.59,4889.74,4506.67,4391.79,4627.18,1701,1692,6.501,0,0,0,0
2,3864.1,4100,4208.72,4415.9,4606.67,4677.44,4478.97,4448.21,4166.15,4523.08,4888.21,4505.64,4389.74,4620.51,1700,1694,6.509,0,0,0,0
3,3858.97,4092.31,4201.54,4410.77,4593.33,4690.77,4477.95,4440,4153.33,4520,4882.56,4504.1,4383.59,4615.38,1702,1693,6.516,0,0,0,0
4,3864.1,4098.46,4201.54,4410.77,4576.41,4694.36,4486.67,4441.03,4147.69,4520.51,4886.15,4503.59,4383.08,4622.05,1701,1693,6.524,0,0,0,0
5,3870.77,4104.1,4210.26,4414.36,4588.72,4684.62,4483.59,4449.74,4155.38,4522.56,4895.9,4509.23,4388.21,4629.74,1702,1693,6.532,0,0,0,0
6,3863.59,4093.33,4210.26,4412.82,4589.74,4682.05,4473.85,4444.1,4157.44,4511.79,4885.64,4508.72,4380,4622.56,1702,1692,6.541,0,0,0,0
7,3858.46,4087.18,4204.62,4411.28,4590.26,4687.69,4471.79,4426.15,4140.51,4498.97,4869.23,4502.05,4369.23,4620.51,1702,1693,6.547,0,0,0,0
8,3869.23,4100,4210.26,4412.31,4601.54,4687.18,4478.97,4429.74,4132.31,4507.18,4879.49,4509.74,4376.92,4633.85,1703,1692,6.556,0,0,0,0
9,3875.38,4108.21,4216.41,4413.33,4591.28,4685.64,4488.21,4453.33,4157.95,4518.46,4894.36,4518.46,4385.13,4641.03,1703,1692,6.562,0,0,0,0
10,3871.28,4098.46,4210.77,4413.85,4578.97,4687.18,4487.69,4454.36,4169.74,4512.31,4887.18,4511.79,4377.95,4637.44,1702,1691,6.572,0,0,0,0
11,3869.74,4091.28,4206.67,4411.79,4587.18,4687.18,4480.51,4440.51,4152.31,4517.95,4885.13,4506.15,4378.46,4637.44,1703,1692,6.578,0,0,0,0
12,3871.28,4094.87,4209.74,4411.28,4583.59,4688.21,4479.49,4442.56,4149.23,4529.74,4894.87,4512.82,4386.15,4642.05,1703,1691,6.586,0,0,0,0
13,3865.64,4094.36,4204.1,4410.77,4585.13,4687.18,4476.92,4434.87,4146.67,4506.67,4880,4506.67,4374.36,4634.36,1702,1692,6.594,0,0,0,0
14,3856.92,4084.62,4193.33,4404.1,4590.77,4685.64,4471.28,4414.87,4135.38,4485.13,4860.51,4489.23,4360,4618.46,1703,1692,6.601,0,0,0,0
15,3856.92,4078.46,4193.85,4400,4572.82,4685.64,4471.28,4417.44,4136.92,4503.08,4863.08,4489.23,4363.59,4617.95,1702,1692,6.609,0,0,0,0
16,3863.59,4088.72,4200.51,4406.15,4575.9,4680,4471.79,4431.79,4141.03,4512.31,4875.9,4501.03,4373.85,4626.67,1703,1693,6.623,0,0,0,0
17,3863.08,4093.33,4200.51,4411.79,4588.21,4671.28,4472.31,4428.21,4133.85,4490.26,4877.44,4497.44,4374.87,4622.56,1702,1693,6.627,0,0,0,0
18,3854.36,4082.05,4193.85,4406.15,4562.56,4676.41,4472.31,4422.56,4132.31,4482.05,4865.13,4488.21,4365.64,4615.9,1701,1695,6.633,0,0,0,0
19,3854.36,4082.05,4196.41,4404.1,4554.36,4684.62,4473.85,4436.41,4143.59,4503.08,4864.1,4497.44,4366.67,4621.03,1702,1693,6.641,0,0,0,0
20,3859.49,4092.82,4206.15,4410.26,4587.69,4680.51,4476.92,4449.74,4151.28,4514.87,4875.9,4509.74,4377.95,4621.54,1701,1693,6.649,0,0,0,0
21,3853.85,4086.67,4203.08,4409.23,4586.67,4683.59,4475.9,4441.03,4145.64,4497.44,4877.44,4505.13,4375.38,4614.87,1701,1693,6.657,0,0,0,0
22,3850.77,4076.41,4195.9,4405.13,4555.38,4698.97,4475.9,4432.82,4143.59,4488.21,4871.79,4501.03,4371.79,4616.92,1700,1693,6.665,0,0,0,0
23,3861.54,4083.59,4204.62,4405.13,4550.77,4704.1,4479.49,4441.54,4154.36,4503.08,4874.87,4506.67,4382.05,4628.21,1701,1693,6.673,0,0,0,0
24,3869.74,4091.79,4214.36,4408.21,4567.18,4691.28,4476.92,4447.69,4161.54,4516.92,4883.59,4508.21,4389.74,4638.97,1700,1693,6.681,0,0,0,0
25,3869.74,4093.85,4213.33,4414.36,4589.74,4681.03,4475.38,4447.69,4167.18,4522.05,4891.28,4508.72,4386.67,4640,1701,1693,6.689,0,0,0,0
26,3867.69,4093.33,4212.31,4412.82,4587.18,4684.62,4484.62,4450.77,4175.38,4522.56,4889.74,4509.23,4380.51,4633.85,1700,1692,6.696,0,0,0,0
